Fecha,Concepto,Categoria ID / Ref,Monto ($)
2026-04-27T13:17:11.822679+00:00,cafe,52,5.00
2026-05-01T10:20:46.234454+00:00,comida,52,15.00
2026-05-02T03:09:39.898295+00:00,ropa,52,100.00
2026-05-13T17:30:08.365887+00:00,reloj,52,1000.00
2026-05-20T07:03:59.290517+00:00,compra de 2 cafes,52,10.00
2026-05-20T15:59:43.173226+00:00,compra de reloj,58,15.00
2026-05-26T06:01:47.804026+00:00,Compra de Reloj,General,1015.00
2026-05-26T06:01:47.804026+00:00,Ropa Nueva,General,100.00
2026-05-26T06:01:47.804026+00:00,Café de la semana,General,15.00
2026-05-26T06:01:47.804026+00:00,Comida Almuerzo,General,15.00
2026-05-26T06:09:33.233802+00:00,Compra de Reloj,General,1015.00
2026-05-26T06:09:33.233802+00:00,Ropa Nueva,General,100.00
2026-05-26T06:09:33.233802+00:00,Café de la semana,General,15.00
2026-05-26T06:09:33.233802+00:00,Comida Almuerzo,General,15.00
2026-05-26T17:31:09.933631+00:00,almuerzo con el equipo de trabajo,General,15.50
2026-05-26T18:33:55.173752+00:00,almuerzo con el equipo de trabajo,52,15.50
2026-05-27T04:52:29.386833+00:00,Compra de Reloj,General,1015.00
2026-05-27T04:52:29.386833+00:00,Ropa Nueva,General,100.00
2026-05-27T04:52:29.386833+00:00,Café de la semana,General,15.00
2026-05-27T04:52:29.386833+00:00,Comida Almuerzo,General,15.00
2026-05-27T05:47:57.371891+00:00,almuerzo con el equipo,52,15.50
2026-05-31T21:35:04.056387+00:00,compra de comida,52,50.00
2026-06-01T04:52:07.775274+00:00,cafe,52,3.50
2026-06-01T04:53:22.832388+00:00,cafe,52,3.50
